Etiquetas de fila,Promedio de Rating_Personal,Promedio de Rating_RYM,Cuenta de Ranking_On_Spotify,Cuenta de Artist_Name
Addison Rae,2.5,3.41,0,1
Aidan Bissett,2.5,3.11,0,1
Alejandro Sanz,3,2.56,0,3
Alicia Keys,3.5,3.49,0,1
Álvaro Díaz,3.75,3.47,0,2
Ariana Grande,3.125,3.02,4,4
Billie Eilish,3.75,3.465,2,2
Britney Spears,2.5,2.63,0,1
Carín León,2,2.92,0,1
Carlos Sadness,2.5,2.25,0,1
Celso Piña,4.5,3.44,0,1
Chappell Roan,3,3.52,1,1
Cruz Cafuné,2.5,3.57,0,1
Daniel Caesar,3.5,3.475,1,2
Daniel Johnston,4.5,3.71,0,1
Daniel Quién,3,3.27,0,1
David Bowie,5,4.26,0,1
Don Toliver,2.5,2.96,0,1
Dua Lipa,2.75,3.255,1,2
Ed Sheeran,3,1.74,1,1
El Bogueto,2,2.36,0,1
El Cómodo Silencio de los Que Hablan Poco,2.5,2.84,0,1
El Gran Silencio,4,3.56,0,1
El Malilla,2,2.5,0,1
El Tri,3.5,3.47,0,1
Eladio Carrión,3,2.395,0,2
Elliott Smith,3,4.18,0,1
Fiona Apple,4.5,3.79,0,1
Frank Ocean,4,3.87,1,1
Gabito Ballesteros,1,2.72,0,1
George Harrison,4,4.12,0,1
Gerardo Ortiz,2.5,2.65,0,1
Gustavo Cerati,4.5,3.925,0,2
Harry Styles,3,2.78,1,1
Hayley Williams,3.25,3.4,0,2
Héctor Lavoe,4,3.83,0,1
J Balvin,4.5,3.07,1,1
J Balvin & Bad Bunny,3,2.79,1,1
Jenni Rivera,3,3.17,0,1
Joey Bada$$,3,3.86,0,1
José Madero,3.5,3.76,0,1
Juan Gabriel,3.5,3.71,0,1
Julieta Venegas,3.75,3.455,0,2
Justin Bieber,2.25,2.285,2,2
Kali Uchis,3,3.48,0,1
Kanye West,4.25,3.8075,1,4
Karol G,2,2.93,1,1
Kate Bush,3.5,3.89,0,1
Katy Perry,3,3.02,1,1
Kendrick Lamar,4.666666667,3.94,2,3
La Obsesión,3.5,3.8,0,1
Lauryn Hill,4,4.05,0,1
León Larregui,4,3.32,0,1
Los Mesoneros,3,3.47,0,1
Los Plebes del Rancho de Ariel Camacho,3,3.79,0,1
Los Tigres del Norte,3.5,3.8,0,1
Los Tres,4.5,3.82,0,1
Luck Ra,2.5,3.25,0,1
Mac DeMarco,3.5,3.52,0,1
Mac Miller,3.75,3.745,1,2
Makoto Matsushita,3.5,3.69,0,1
Michael Jackson,4.333333333,3.9,2,3
Mon Laferte,3.25,3.615,0,2
Natalia Lacunza,3,3.28,0,1
Natalia Lafourcade,4,3.88,0,2
Natanael Cano,3.333333333,3.206666667,0,3
Natanael Cano / Ovi / Junior H,3,2.79,0,1
Neton Vega,2,2.59,0,1
Niall Horan,2.5,2.88,0,1
Nicki Nicole,0.5,1.47,0,1
Nicky Jam,3,2.2,1,1
Olivia Rodrigo,3.5,3.235,2,2
Óscar Maydon,2,3.22,0,1
Paco Amoroso,2.5,3.57,0,1
Paquita la del Barrio con mariachi,3.5,3.72,0,1
Paul McCartney and Wings,3.5,3.9,0,1
Paulo Londra,1.666666667,1.916666667,1,3
Ralphie Choo,3.5,3.61,0,1
Ryo Fukui,3.5,3.83,0,1
Sabrina Carpenter,3.25,2.805,1,2
Sen Senra,4,3.32,0,1
Shawn Mendes,2.75,2.27,2,2
Silvana Estrada,3.5,3.67,0,1
Stevie Wonder,5,4.31,0,1
Taylor Swift,2.333333333,2.61,3,3
The Beach Boys,3.5,4.19,0,1
The Beatles,4.25,4.145,1,4
The Cardigans,3.5,3.49,0,1
The Chainsmokers,2,1.77,0,1
The Cure,4,4.26,0,1
The Doors,4.5,4.09,0,1
The Jimi Hendrix Experience,5,4.17,0,1
The Killers,3.5,3.47,1,1
The Last Dinner Party,3,3.51,0,1
The Marías,3.5,3.62,0,1
The Notorious B.I.G.,4,4.04,1,1
The Police,3.5,3.61,0,1
The Rolling Stones,3.5,3.66,0,1
The Smiths,3.5,4.14,0,1
The Strokes,4,3.915,0,2
The Weeknd,3.5,3.365,2,2
Tito Double P,2,2.83,1,1
Travis Scott,3.333333333,3.586666667,3,3
Vicente Fernández,3,3.66,0,1
Víctor Mendívil,3,2.42,0,1
Bad Bunny,3.4,3.11,5,5
Arctic Monkeys,3.5,3.07,1,1
XXXTENTACION,3,2.25,1,1
Juice WRLD,3,2.96,1,1
Imagine Dragons,3,1.925,2,2
