Etiquetas de fila,Promedio de Rating_Personal,Promedio de Rating_RYM,Cuenta de Ranking_On_Spotify,Cuenta de Release_Year
1965,4,4.02,0,1
1966,3.5,4.19,0,1
1967,4.5,4.105,0,2
1968,4.75,4.155,0,2
1969,4.333333333,4.18,1,3
1970,4.5,4.18,0,2
1972,5,4.26,0,1
1973,4,4.085,0,2
1975,4,3.773333333,1,3
1976,3.8,3.764,0,5
1977,3.5,3.935,1,2
1978,3.5,3.635,0,2
1979,4.5,3.555,0,2
1980,3.833333333,3.73,1,3
1981,5,3.8,0,1
1982,3.75,3.865,1,2
1983,4.5,3.71,0,1
1984,3.75,3.805,0,2
1985,3.5,3.57,0,1
1986,3.5,3.785,0,4
1987,4,3.72,1,1
1988,3.25,3.115,0,2
1989,3.75,4.03,0,2
1991,3.75,3.605,0,2
1992,3.666666667,3.98,0,3
1993,3.75,3.965,0,2
1994,3.8125,3.7125,1,8
1995,3.375,3.4875,1,4
1996,3.833333333,3.91,0,3
1997,3.5,3.668,1,5
1998,3.625,3.695,0,4
1999,4.333333333,3.756666667,0,3
2000,2.75,2.94,0,4
2001,3.857142857,3.598571429,0,7
2002,3,3.343333333,0,3
2003,3.666666667,3.336666667,0,3
2004,3.8,3.658,2,5
2005,3.666666667,3.316666667,0,3
2006,3.75,3.485,0,2
2007,3.333333333,3.7,1,3
2008,3.166666667,3.583333333,0,3
2009,3.5,3.63,0,1
2010,3.4375,3.57125,2,8
2011,2.875,3.19,1,4
2012,3.4,3.452,2,5
2013,3.5,3.381428571,2,7
2014,2.785714286,3.075714286,2,7
2015,3.357142857,3.19,4,7
2016,3.2,3.334,4,10
2017,2.888888889,2.627777778,5,9
2018,3.28125,3.106875,9,16
2019,3.035714286,3.107142857,4,14
2020,3.263157895,3.298421053,7,19
2021,3.19047619,3.156666667,5,21
2022,3.19047619,3.102857143,3,21
2023,2.916666667,3.19375,8,24
2024,2.819148936,3.017234043,8,47
2025,3.193548387,3.256129032,1,31
Total general,3.302739726,3.330356164,79,365
